Date,Students,Staff
3/3/2021,2,0
3/1/2021,1,0
2/26/2021,1,0
2/25/2021,1,0
2/23/2021,1,0
2/19/2021,1,0
2/18/2021,0,1
2/17/2021,1,0
2/15/2021,3,0
2/14/2021,1,0
2/12/2021,2,0
2/11/2021,3,2
2/10/2021,3,0
2/9/2021,3,0
2/8/2021,2,0
2/5/2021,1,1
2/4/2021,2,0
2/3/2021,1,0
2/2/2021,1,0
2/1/2021,2,0
1/29/2021,1,0
1/28/2021,2,0
1/27/2021,2,0
1/26/2021,3,0
1/25/2021,1,0
1/22/2021,2,0
1/21/2021,2,0
1/19/2021,2,0
1/18/2021,0,1
01/13/2021,1,0
01/12/2021,1,0
01/11/2021,3,0
01/10/2021,0,1
01/08/2021,1,0
01/07/2021,2,0
01/06/2021,1,1
01/05/2021,2,0
01/04/2021,3,1
01/03/2021,0,1
12/30/2020,1,1
12/26/2020,0,1
12/20/2020,0,1
12/19/2020,0,1
12/18/2020,1,1
12/17/2020,2,1
12/15/2020,1,0
12/14/2020,3,0
12/13/2020,0,1
12/11/2020,1,0
12/09/2020,1,0
12/08/2020,1,0
12/07/2020,8,1
12/06/2020,3,0
12/04/2020,3,0
12/03/2020,1,0
12/02/2020,5,0
12/01/2020,3,1
11/30/2020,5,0
11/29/2020,4,3
11/23/2020,1,0
11/20/2020,3,0
11/19/2020,1,0
11/18/2020,3,0
11/17/2020,2,0
11/15/2020,1,1
11/13/2020,3,2
11/12/2020,2,1
11/11/2020,0,2
11/10/2020,1,1
11/9/2020,3,2
11/8/2020,1,1
11/6/2020,4,0
11/5/2020,2,0
11/4/2020,0,1
11/3/2020,1,0
11/2/2020,1,1
11/1/2020,1,1
10/22/2020,2,0
10/20/2020,2,0
10/19/2020,1,1
10/18/2020,1,1
10/15/2020,0,1
10/14/2020,0,1
10/1/2020,1,0
